date,area,total_workforce_jobs,employee_jobs,self_employment_jobs
Mar-05,London,4676074,4156574,508551
Mar-05,UK,31356018,27578355,3493776
Jun-05,London,4697675,4165645,521488
Jun-05,UK,31401212,27624929,3500060
Sep-05,London,4733619,4197155,526181
Sep-05,UK,31542753,27732643,3533253
Dec-05,London,4758642,4210859,537199
Dec-05,UK,31630216,27784201,3571012
Mar-06,London,4765979,4194227,561542
Mar-06,UK,31706532,27829113,3607713
Jun-06,London,4775537,4207444,554303
Jun-06,UK,31807911,27952478,3590991
Sep-06,London,4764173,4207071,542887
Sep-06,UK,31950643,28020523,3660052
Dec-06,London,4781229,4217189,550023
Dec-06,UK,32067229,28103356,3685587
Mar-07,London,4791787,4221901,552594
Mar-07,UK,32001794,28039963,3688689
Jun-07,London,4797532,4247490,533443
Jun-07,UK,32085589,28112020,3695091
Sep-07,London,4852351,4280299,555106
Sep-07,UK,32219960,28229879,3721666
Dec-07,London,4882794,4307212,560266
Dec-07,UK,32253055,28271057,3711800
Mar-08,London,4918011,4348161,551176
Mar-08,UK,32285062,28292260,3717100
Jun-08,London,4963905,4390191,558009
Jun-08,UK,32349014,28360189,3721717
Sep-08,London,4988684,4393446,583268
Sep-08,UK,32313337,28364662,3688364
Dec-08,London,5015040,4407785,595460
Dec-08,UK,32124003,28135658,3726050
Mar-09,London,4919294,4328836,576136
Mar-09,UK,31913984,27897912,3741853
Jun-09,London,4900616,4289695,594628
Jun-09,UK,31734249,27736353,3725756
Sep-09,London,4820767,4222667,582446
Sep-09,UK,31604467,27565456,3772595
Dec-09,London,4794836,4224704,553315
Dec-09,UK,31472574,27433502,3759798
Mar-10,London,4824396,4236030,570993
Mar-10,UK,31485606,27362890,3835489
Jun-10,London,4851576,4250807,585229
Jun-10,UK,31563201,27396427,3879867
Sep-10,London,4818284,4218823,588774
Sep-10,UK,31502704,27349658,3877238
Dec-10,London,4868982,4252056,601620
Dec-10,UK,31563479,27315500,3969022
Mar-11,London,4863271,4288880,561524
Mar-11,UK,31639183,27410787,3955378
Jun-11,London,4878482,4296886,571690
Jun-11,UK,31563119,27347956,3965779
Sep-11,London,4962025,4332437,619626
Sep-11,UK,31776685,27404245,4128463
Dec-11,London,4986776,4343931,630954
Dec-11,UK,31799586,27466690,4081918
Mar-12,London,5118764,4467364,630706
Mar-12,UK,32157118,27703909,4184383
Jun-12,London,5126001,4443842,657346
Jun-12,UK,32095821,27593602,4224408
Sep-12,London,5140087,4460559,660105
Sep-12,UK,32025189,27517242,4227303
Dec-12,London,5151613,4469990,656003
Dec-12,UK,31986996,27544764,4162682
Mar-13,London,5235584,4545979,663525
Mar-13,UK,32179593,27709079,4190712
Jun-13,London,5221350,4550953,654284
Jun-13,UK,32238202,27826180,4155749
Sep-13,London,5280865,4601114,663669
Sep-13,UK,32457659,27930644,4263034
Dec-13,London,5385237,4643605,727957
Dec-13,UK,32834904,28139077,4455409
Mar-14,London,5436299,4648369,772991
Mar-14,UK,33136912,28345566,4548766
Jun-14,London,5521993,4716257,791223
Jun-14,UK,33446463,28660516,4541369
Sep-14,London,5526705,4757103,753895
Sep-14,UK,33572033,28808535,4521767
Dec-14,London,5547933,4786315,747787
Dec-14,UK,33688059,28975497,4484739
Mar-15,London,5570602,4848941,706679
Mar-15,UK,33805437,29197168,4379681
Jun-15,London,5595550,4856753,721406
Jun-15,UK,33892123,29279264,4381626
Sep-15,London,5633793,4907639,709708
Sep-15,UK,34083011,29404240,4460603
Dec-15,London,5666541,4931058,723172
Dec-15,UK,34160310,29517749,4428746
Mar-16,London,5695714,4930661,754565
Mar-16,UK,34364900,29703879,4435202
Jun-16,London,5762416,5016143,735907
Jun-16,UK,34558330,29827228,4518264
Sep-16,London,5772635,5026900,736084
Sep-16,UK,34597513,29898552,4493316
Dec-16,London,5789259,5030588,745645
Dec-16,UK,34674330,29920249,4540400
Mar-17,London,5808389,5055414,737366
Mar-17,UK,34836335,30112341,4505368
Jun-17,London,5876545,5097711,765983
Jun-17,UK,34853875,30113403,4539409
Sep-17,London,5892148,5124553,756524
Sep-17,UK,34963546,30235270,4526762
Dec-17,London,5927975,5126033,792501
Dec-17,UK,34883000,30209770,4486381
Mar-18,London,5922967,5130140,784531
Mar-18,UK,34934392,30251671,4500224
Jun-18,London,5918074,5105706,803051
Jun-18,UK,34972297,30264708,4526530
Sep-18,London,5919001,5147387,762903
Sep-18,UK,35076233,30421883,4478326
Dec-18,London,5949090,5189252,752278
Dec-18,UK,35254972,30490906,4590431
Mar-19,London,6016974,5213265,796843
Mar-19,UK,35431855,30600666,4651688
Jun-19,London,5981163,5236998,735384
Jun-19,UK,35550599,30694494,4662890
Sep-19,London,6051247,5257918,785898
Sep-19,UK,35619529,30821864,4615101
Dec-19,London,6082113,5249025,824958
Dec-19,UK,35675653,30789424,4697424
Mar-20,London,6053435,5274278,767813
Mar-20,UK,35612871,30911764,4515350
Jun-20,London,5923192,5200944,711127
Jun-20,UK,35177961,30640116,4352828
Sep-20,London,5806552,5121191,676711
Sep-20,UK,34636410,30224256,4224856
Dec-20,London,5793954,5113981,670438
Dec-20,UK,34550821,30242911,4116310
Mar-21,London,5864176,5188044,669295
Mar-21,UK,34759726,30430169,4145902
Jun-21,London,5983511,5270510,701665
Jun-21,UK,35149323,30736162,4221596
Sep-21,London,6035847,5338436,686164
Sep-21,UK,35374337,31068520,4113390
Dec-21,London,6074992,5371080,694776
Dec-21,UK,35442268,31251942,4001702
Mar-22,London,6153075,5428189,713049
Mar-22,UK,35798909,31490929,4098996
Jun-22,London,6256767,5508528,741514
Jun-22,UK,36119397,31785033,4140123
Sep-22,London,6302561,5584804,703770
Sep-22,UK,36208868,31898790,4109819
Dec-22,London,6373314,5671083,689171
Dec-22,UK,36449231,32071311,4161181
Mar-23,London,6556439,5792089,755010
Mar-23,UK,36823653,32359004,4242639
Jun-23,London,6484486,5844077,631804
Jun-23,UK,36670817,32427340,4045945
